channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
14494.stations.xmltv.tvmedia.ca,MLS Direct Kick 3,,,,,Y
14495.stations.xmltv.tvmedia.ca,MLS Direct Kick 3 HD,,,,,Y
14496.stations.xmltv.tvmedia.ca,MLS Direct Kick 4,,,,,Y
14497.stations.xmltv.tvmedia.ca,MLS Direct Kick 4 HD,,,,,Y
14498.stations.xmltv.tvmedia.ca,MLS Direct Kick 5,,,,,Y
14499.stations.xmltv.tvmedia.ca,MLS Direct Kick 5 HD,,,,,Y
14500.stations.xmltv.tvmedia.ca,MLS Direct Kick 6,,,,,Y
14502.stations.xmltv.tvmedia.ca,MLS Direct Kick 7,,,,,Y
14504.stations.xmltv.tvmedia.ca,MLS Direct Kick 8,,,,,Y
14506.stations.xmltv.tvmedia.ca,MLS Direct Kick 9,,,,,Y
14528.stations.xmltv.tvmedia.ca,Discovery Familia HD,,,,,Y
14557.stations.xmltv.tvmedia.ca,MC - Gospel,,,,,Y
14558.stations.xmltv.tvmedia.ca,MC - Reggae,,,,,Y
14559.stations.xmltv.tvmedia.ca,MC - Classic Rock,,,,,Y
14560.stations.xmltv.tvmedia.ca,MC - Rock Hits,,,,,Y
14561.stations.xmltv.tvmedia.ca,MC - Rock,,,,,Y
14562.stations.xmltv.tvmedia.ca,MC - Metal,,,,,Y
14563.stations.xmltv.tvmedia.ca,MC - Alternative,,,,,Y
14564.stations.xmltv.tvmedia.ca,MC - Adult Alternative,,,,,Y
14565.stations.xmltv.tvmedia.ca,MC - Soft Rock,,,,,Y
14566.stations.xmltv.tvmedia.ca,MC - Hit List,,,,,Y
14567.stations.xmltv.tvmedia.ca,MC - Pop Hits,,,,,Y
14568.stations.xmltv.tvmedia.ca,MC - 90's,,,,,Y
14569.stations.xmltv.tvmedia.ca,MC - 80's,,,,,Y
14570.stations.xmltv.tvmedia.ca,MC - 70's,,,,,Y
