"sha256","overlap_rows","file_names","source_paths"
"BA6FD7F90BAF42F26EE326A2945B1C6E29A65C3567C1E63968526469CDDCB8D5","2","BA6FD7F90B__id.m3u;id.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BA6FD7F90B__id.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\id.m3u"
"BBADB30DBA59C0571F9AF1817A7DBFD63B4820CE486279B79522602E1BE04957","2","BBADB30DBA__nl_samsung.m3u;nl_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BBADB30DBA__nl_samsung.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\nl_samsung.m3u"
"BD286FDE37730A2FAB5A9F802CE63B36EB1DCF70EFABD4B23AA40AFCFC5F027B","2","at_plutotv.m3u;BD286FDE37__at_plutotv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BD286FDE37__at_plutotv.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\at_plutotv.m3u"
"BD9052B56DB61C60171E991770C20C4022E74843944297D4D51B30B01C1AE6B3","2","BD9052B56D__ca_stingray.m3u;ca_stingray.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BD9052B56D__ca_stingray.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ca_stingray.m3u"
"BDAECF8D4DD4C605854381DCE4EC79F69C028DA3338EFAE8CB1C160CA3D923DB","2","BDAECF8D4D__ca_pluto.m3u;ca_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BDAECF8D4D__ca_pluto.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ca_pluto.m3u"
"BEAE468EBAE29A7FDC90EEC60947CD486CD50EF1B5AAC03DEEFE286835AD81F8","2","BEAE468EBA__us_wiseplayout.m3u;us_wiseplayout.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\BEAE468EBA__us_wiseplayout.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_wiseplayout.m3u"
"C036F309FC388DCAF7C966646505566FAEB04572C9DEA5E7C72A506949676AD0","2","ar.m3u;C036F309FC__ar.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C036F309FC__ar.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ar.m3u"
"C0B6537418E85A1D09494476EB07BC32D604004833F9E106008CA84E91B6220C","2","C0B6537418__il.m3u;il.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C0B6537418__il.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\il.m3u"
"C140E606B752255A352ECA1F7001F5841969312675668EFB613B598F7AC8E07F","2","am_vnet.m3u;C140E606B7__am_vnet.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C140E606B7__am_vnet.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\am_vnet.m3u"
"C306072121339294F7D3EAD8E59F05D6D46E5F65CACCCA48CD3906CD75B2DA67","2","C306072121__pa.m3u;pa.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C306072121__pa.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\pa.m3u"
"C4C6574B7FD9C451729A8166B5BAEE82010FED9335CD9933558BCEA2EB30BBF6","2","C4C6574B7F__pl.m3u;pl.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C4C6574B7F__pl.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\pl.m3u"
"C680268B284D82BC8B8316064701CB7B7D43E5CF1C8998F7FA22B2E65B93152A","2","C680268B28__ru_bonustv.m3u;ru_bonustv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C680268B28__ru_bonustv.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ru_bonustv.m3u"
"C6C7C38568DE49A74275A72A88040F47721850C7FD773829226464A668533896","2","C6C7C38568__uk_pluto.m3u;uk_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C6C7C38568__uk_pluto.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\uk_pluto.m3u"
"C8308ADDD4A9EF53CF97BD6B1C28BDA8A857681AE4BDB36A39F797EC228FEE90","2","C8308ADDD4__cn_cctv.m3u;cn_cctv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\C8308ADDD4__cn_cctv.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\cn_cctv.m3u"
"CAE8035E02A8E57FA3450C29DB83DF4D76736259854178F9D162A0E2407E7834","2","CAE8035E02__lb.m3u;lb.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\CAE8035E02__lb.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\lb.m3u"
