"type","last_write","size_bytes","src_path","dst_path"
"epg","03/02/25 2:36:51 PM","4448077","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\epg.112114.xyz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\CF3D75EEE6__content.xml"
"epg","11/08/25 2:55:37 AM","4388950","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_ca1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\DC6F15B7F8__epg_epgshare_ca1.xml.gz"
"epg","11/08/25 2:55:36 AM","4158161","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_au1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\7B584188BD__epg_epgshare_au1.xml.gz"
"epg","11/08/25 2:55:37 AM","3766405","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_plex1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\7A2B0EB767__epg_epgshare_plex1.xml.gz"
"epg","11/08/25 2:55:38 AM","3041516","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_us1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\56469FA948__epg_epgshare_us1.xml.gz"
"epg","11/08/25 2:55:38 AM","2944295","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_uk1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\DB3163E19A__epg_epgshare_uk1.xml.gz"
"epg","22/11/25 11:55:20 AM","2654461","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\99E11B6678__tvpassport.com.channels.xml"
"epg","11/08/25 2:55:44 AM","2653798","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgpw_gb.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\B82DCCECAF__epg_epgpw_gb.xml.gz"
"epg","26/09/25 10:40:03 AM","2647944","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\D0307BE4BF__tvpassport.com.channels.xml"
"epg","11/08/25 2:55:43 AM","1994765","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgpw_ca.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\20961324F0__epg_epgpw_ca.xml.gz"
