tag,site,name,xmltv_id,lang,site_id,source_file
abc.net.au,abc.net.au,SBS3,,en,Adelaide#SBS3,abc.net.au_adl.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Queensland#SBS3,abc.net.au_qld.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Victoria#SBS3,abc.net.au_vic.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Northern Territory#SBS3,abc.net.au_nt.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Western Australia#SBS3,abc.net.au_wa.channels.xml
abc.net.au,abc.net.au,SBS3,,en,GoldCoast#SBS3,abc.net.au_gc.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Melbourne#SBS3,abc.net.au_mel.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Townsville#SBS3,abc.net.au_tsv.channels.xml
abc.net.au,abc.net.au,SBS3,,en,South Australia#SBS3,abc.net.au_sa.channels.xml
abc.net.au,abc.net.au,SBS3,,en,Hobart#SBS3,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,GoldCoast#SBSHD,abc.net.au_gc.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Melbourne#SBSHD,abc.net.au_mel.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Darwin#SBSHD,abc.net.au_drw.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,New South Wales#SBSHD,abc.net.au_nsw.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Victoria#SBSHD,abc.net.au_vic.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Northern Territory#SBSHD,abc.net.au_nt.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Sydney#SBSHD,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Hobart#SBSHD,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Perth#SBSHD,abc.net.au_per.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Brisbane#SBSHD,abc.net.au_bri.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Adelaide#SBSHD,abc.net.au_adl.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Queensland#SBSHD,abc.net.au_qld.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Western Australia#SBSHD,abc.net.au_wa.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Tasmania#SBSHD,abc.net.au_tas.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Townsville#SBSHD,abc.net.au_tsv.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,South Australia#SBSHD,abc.net.au_sa.channels.xml
abc.net.au,abc.net.au,SBSHD,,en,Canberra#SBSHD,abc.net.au_cbr.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Canberra#SBSWW,abc.net.au_cbr.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Darwin#SBSWW,abc.net.au_drw.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Western Australia#SBSWW,abc.net.au_wa.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Tasmania#SBSWW,abc.net.au_tas.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,GoldCoast#SBSWW,abc.net.au_gc.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Hobart#SBSWW,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,South Australia#SBSWW,abc.net.au_sa.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Townsville#SBSWW,abc.net.au_tsv.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Victoria#SBSWW,abc.net.au_vic.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Sydney#SBSWW,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Melbourne#SBSWW,abc.net.au_mel.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,New South Wales#SBSWW,abc.net.au_nsw.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Northern Territory#SBSWW,abc.net.au_nt.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Perth#SBSWW,abc.net.au_per.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Brisbane#SBSWW,abc.net.au_bri.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Adelaide#SBSWW,abc.net.au_adl.channels.xml
abc.net.au,abc.net.au,SBSWW,,en,Queensland#SBSWW,abc.net.au_qld.channels.xml
directv.com,directv.com,SBTN (99R),,en,2030#4513,directv.com.channels.xml
streamingtvguides.com,streamingtvguides.com,SBTN (99R),,en,DTV:SBTN:2030,streamingtvguides.com.channels.xml
abc.net.au,abc.net.au,SC,,en,Darwin#SC,abc.net.au_drw.channels.xml
abc.net.au,abc.net.au,SC,,en,Tasmania#SC,abc.net.au_tas.channels.xml
abc.net.au,abc.net.au,SC,,en,Hobart#SC,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SC9,,en,South Australia#SC9,abc.net.au_sa.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Hobart#SCA9,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Townsville#SCA9,abc.net.au_tsv.channels.xml
abc.net.au,abc.net.au,SCA9,,en,New South Wales#SCA9,abc.net.au_nsw.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Canberra#SCA9,abc.net.au_cbr.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Victoria#SCA9,abc.net.au_vic.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Queensland#SCA9,abc.net.au_qld.channels.xml
abc.net.au,abc.net.au,SCA9,,en,Tasmania#SCA9,abc.net.au_tas.channels.xml
epgshare01.online,epgshare01.online,Scares by Shudder,,en,US1#Scares.by.Shudder.us,epgshare01.online_US1.channels.xml
streamingtvguides.com,streamingtvguides.com,S-channel,,en,SCHANNL,streamingtvguides.com.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Tasmania#SCHD,abc.net.au_tas.channels.xml
abc.net.au,abc.net.au,SCHD,,en,New South Wales#SCHD,abc.net.au_nsw.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Queensland#SCHD,abc.net.au_qld.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Victoria#SCHD,abc.net.au_vic.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Hobart#SCHD,abc.net.au_hbr.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Canberra#SCHD,abc.net.au_cbr.channels.xml
abc.net.au,abc.net.au,SCHD,,en,Townsville#SCHD,abc.net.au_tsv.channels.xml
pluto.tv,pluto.tv,Schitt's creek,,de,65a67d7d33ea86000831a21d,pluto.tv_de.channels.xml
pluto.tv,pluto.tv,School of Rock,,sv,6620f976307fa300080645c1,pluto.tv_sv.channels.xml
pluto.tv,pluto.tv,School of Rock,,no,6620f8fd5e23700008ecc3ba,pluto.tv_no.channels.xml
pluto.tv,pluto.tv,School of Rock,,de,63d91013a8b22700081388b4,pluto.tv_de.channels.xml
pluto.tv,pluto.tv,School of Rock,,da,6620f860420da900080b361f,pluto.tv_dk.channels.xml
directv.com,directv.com,Science,Science.us@East,en,284#284,directv.com.channels.xml
epgshare01.online,epgshare01.online,Science,,en,US1#Science.us,epgshare01.online_US1.channels.xml
streamingtvguides.com,streamingtvguides.com,Science,,en,DTV:SCI:284,streamingtvguides.com.channels.xml
