data_key,scope_order,selected_channel_name,tvg_id,network,feed,location,group_title,match_status,matched_channel_count,matched_channel_names,matched_tvg_ids
tvg_id::6201,133,USA Starz UHD,6201,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz UHD,6201
tvg_id::6202,134,USA Starz West UHD,6202,Starz,West,"Ultra, HD",Ultra HD,matched,1,USA Starz West UHD,6202
tvg_id::6203,135,USA Sundance UHD,6203,USA,,"Ultra, HD",Ultra HD,matched,1,USA Sundance UHD,6203
tvg_id::6204,136,USA Syfy UHD,6204,Syfy,,"Ultra, HD",Ultra HD,matched,1,USA Syfy UHD,6204
tvg_id::6206,137,USA TBS West UHD,6206,TBS,West,"Ultra, HD",Ultra HD,matched,1,USA TBS West UHD,6206
tvg_id::6207,138,USA TCM UHD,6207,USA,,"Ultra, HD",Ultra HD,matched,1,USA TCM UHD,6207
tvg_id::6211,139,USA The Movie Channel,6211,USA,,"Ultra, HD",Ultra HD,matched,1,USA The Movie Channel,6211
tvg_id::6212,140,USA The Movie Channel Xtra,6212,USA,,"Ultra, HD",Ultra HD,matched,1,USA The Movie Channel Xtra,6212
tvg_id::6214,141,USA TLC UHD,6214,TLC,,"Ultra, HD",Ultra HD,matched,1,USA TLC UHD,6214
tvg_id::6215,142,USA TNT UHD,6215,TNT,,"Ultra, HD",Ultra HD,matched,1,USA TNT UHD,6215
tvg_id::6216,143,USA TNT West UHD,6216,TNT,West,"Ultra, HD",Ultra HD,matched,1,USA TNT West UHD,6216
tvg_id::6223,144,USA Univison,6223,USA,,"Ultra, HD",Ultra HD,matched,1,USA Univison,6223
tvg_id::6225,145,USA VH 1 UHD,6225,USA,,"Ultra, HD",Ultra HD,matched,1,USA VH 1 UHD,6225
tvg_id::6226,146,USA Vice UHD,6226,USA,,"Ultra, HD",Ultra HD,matched,1,USA Vice UHD,6226
tvg_id::148,147,VH1 (East),148,VH1,East,,Entertainment,matched,1,VH1 (East),148
tvg_id::149,148,VH1 (West),149,VH1,West,,Entertainment,matched,1,VH1 (West),149
