"source_root","target_root","relative_path","source_path","target_path","status","source_size_bytes","target_size_bytes"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","za.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\za.m3u","EXTRA_IN_TARGET","","2425"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","ma.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ma.m3u","EXTRA_IN_TARGET","","2927"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","ir.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ir.m3u","EXTRA_IN_TARGET","","3895"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","tn.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\tn.m3u","EXTRA_IN_TARGET","","1272"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","pf.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\pf.m3u","EXTRA_IN_TARGET","","165"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","sy.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\sy.m3u","EXTRA_IN_TARGET","","886"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","at.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\at.m3u","EXTRA_IN_TARGET","","3971"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","ao.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ao.m3u","EXTRA_IN_TARGET","","375"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","th.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\th.m3u","EXTRA_IN_TARGET","","5870"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","so.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\so.m3u","EXTRA_IN_TARGET","","1042"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","si.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\si.m3u","EXTRA_IN_TARGET","","1090"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","vn.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\vn.m3u","EXTRA_IN_TARGET","","8054"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","us_xumo.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_xumo.m3u","EXTRA_IN_TARGET","","14229"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","jo.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\jo.m3u","EXTRA_IN_TARGET","","3701"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","st.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\st.m3u","EXTRA_IN_TARGET","","101"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","mx_amagi.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\mx_amagi.m3u","EXTRA_IN_TARGET","","338"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","ec.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ec.m3u","EXTRA_IN_TARGET","","9538"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","ag.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ag.m3u","EXTRA_IN_TARGET","","167"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","by.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\by.m3u","EXTRA_IN_TARGET","","3476"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","xk.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\xk.m3u","EXTRA_IN_TARGET","","1101"
"C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE\streams","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE","fr_samsung.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\fr_samsung.m3u","EXTRA_IN_TARGET","","1985"
